,maxDrawDown,averagePLDay,stdDevPLDay,cumulativePL,winPercentage
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=21,1168492.033876500092446804046630859375,2853.29059421844385724398307502269744873046875,47004.89712751584011130034923553466796875,9902736.4597044996917247772216796875,83.88324873096447
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=25,1456791.949589499272406101226806640625,1492.45509954531780749675817787647247314453125,40319.63593695804593153297901153564453125,5570319.290552749298512935638427734375,84.14872798434442
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=21,2438555.9904995001852512359619140625,3719.53364776289208748494274914264678955078125,72288.514638971406384371221065521240234375,12491477.05626850388944149017333984375,82.87073750991277
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=19,1192685.92821275000460445880889892578125,982.7315175545714964755461551249027252197265625,28659.32130455837250337935984134674072265625,4016374.2183699985034763813018798828125,91.3953488372093
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=21,2665035.544543006457388401031494140625,5488.388470619423969765193760395050048828125,95549.408450577597250230610370635986328125,18072405.84700800478458404541015625,83.77823408624229
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=19,525377.10118875023908913135528564453125,405.17161285969615391877596266567707061767578125,11660.470004699353012256324291229248046875,2253973.66393950022757053375244140625,92.25
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=25,401988.066185249830596148967742919921875,398.10068717644708158331923186779022216796875,11671.662533271812208113260567188262939453125,2254947.4678547494113445281982421875,82.07236842105263
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=21,2184041.316633999347686767578125,5037.1201413743265220546163618564605712890625,82050.319624339914298616349697113037109375,16724785.48777424357831478118896484375,84.51400329489292
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=25,1514690.58132099919021129608154296875,1339.830987236238115656306035816669464111328125,38878.646110510118887759745121002197265625,5141709.4463437497615814208984375,81.49405772495756
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=17,1437204.307814748026430606842041015625,2464.67387952768103787093423306941986083984375,46015.8708159511515987105667591094970703125,8749309.02456699870526790618896484375,84.97913769123782
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=19,1624194.25252399989403784275054931640625,1331.841078185858577853650785982608795166015625,38271.0170638683121069334447383880615234375,5053709.539525501430034637451171875,91.68278529980658
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=25,1303290.03748899884521961212158203125,1039.477853867289240952231921255588531494140625,33664.7950085758857312612235546112060546875,4277669.38745450042188167572021484375,82.93051359516616
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=19,1601653.5188637492246925830841064453125,1353.089425389670623189886100590229034423828125,36491.438633157042204402387142181396484375,5164586.8693467490375041961669921875,93.84615384615384
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=25,1440211.55278274975717067718505859375,1572.5665454527843394316732883453369140625,41182.2804018215319956652820110321044921875,5925434.0458662509918212890625,81.02310231023102
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=17,2399847.78575449995696544647216796875,4372.10845351028183358721435070037841796875,79790.745486324463854543864727020263671875,14738482.2129260003566741943359375,84.53488372093022
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=21,1133506.71328599937260150909423828125,2469.9842855273645909619517624378204345703125,43042.4150596405597752891480922698974609375,8668582.71793199889361858367919921875,83.62183754993342
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=21,466379.21505624963901937007904052734375,716.256891404460702688083983957767486572265625,13339.510282994262524880468845367431640625,3239127.9920195005834102630615234375,84.96042216358839
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=25,386368.95883850031532347202301025390625,394.84866296947160435593104921281337738037109375,10490.2728197168253245763480663299560546875,2218626.5150264999829232692718505859375,83.37028824833703
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=19,522626.2549439999274909496307373046875,406.454893586285834317095577716827392578125,11289.748558507229972747154533863067626953125,2252886.310006248764693737030029296875,91.34615384615384
