Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta,Wins,Losses,AveragePLPercent
2005-05-17 00:00:00,1173.8,1015434.299918749999907197078,1015146.799918749999907197078,6,174,479462.500,-47.04259400000001,26,11,nan
2005-05-18 00:00:00,1185.56,1038640.477167749999891421809,1038640.477167749999891421809,0,0,0,0,32,11,59.5021209480761160228172350
2005-05-19 00:00:00,1191.08,1040914.333586249999880957163,1038401.833586249999880957163,1,67,312387.500,-15.426884000000001,32,11,nan
2005-05-20 00:00:00,1189.28,1039546.804498749999878137729,1038284.304498749999878137729,2,100,465000.00,-22.847699999999996,32,11,nan
2005-05-23 00:00:00,1193.86,1047796.804498749999878137729,1038284.304498749999878137729,2,100,473250.000,-19.6562,32,11,nan
2005-05-24 00:00:00,1194.07,1048546.804498749999878137729,1038284.304498749999878137729,2,100,474000.0,-19.4373,32,11,nan
2005-05-25 00:00:00,1190.01,1047046.804498749999878137729,1038284.304498749999878137729,2,100,472500.00,-20.458099999999998,32,11,nan
2005-05-26 00:00:00,1197.62,1053546.804498749999878137729,1038284.304498749999878137729,2,100,479000.00,-16.232400000000002,32,11,nan
2005-05-27 00:00:00,1198.78,1053546.804498749999878137729,1038284.304498749999878137729,2,100,479000.0,-15.9102,32,11,nan
2005-05-31 00:00:00,1191.5,1050046.804498749999878137729,1038284.304498749999878137729,2,100,475500.00,-18.4112,32,11,nan
2005-06-01 00:00:00,1202.22,1056692.354831999999886571473,1051412.354831999999886571473,1,33,159142.500,-4.519251,33,11,52.66666666666666666666666667
2005-06-02 00:00:00,1204.29,1057135.915784999999884385957,1057135.915784999999884385957,0,0,0,0,34,11,51.85185185185185185185185185
2005-06-03 00:00:00,1196.02,1052126.415102499999902230243,1056726.415102499999902230243,1,115,312225.00,-37.860645,34,11,nan
2005-06-06 00:00:00,1197.51,1052377.152032499999903203402,1056477.152032499999903203402,2,185,471975.00,-53.458905,34,11,nan
2005-06-07 00:00:00,1197.26,1050052.152032499999903203402,1056477.152032499999903203402,2,185,469650.0,-53.88488,34,11,nan
2005-06-08 00:00:00,1194.67,1044553.591080499999903308250,1056473.591080499999903308250,3,186,466895.00,-57.627500000000005,34,11,nan
2005-06-09 00:00:00,1200.93,1064102.530128499999903413098,1056470.030128499999903413098,4,187,488692.500,-47.3304,34,11,nan
2005-06-10 00:00:00,1198.11,1054897.530128499999903413098,1056470.030128499999903413098,4,187,479487.500,-48.894045,34,11,nan
2005-06-13 00:00:00,1200.82,1065430.030128499999903413098,1056470.030128499999903413098,4,187,490020.000,-41.197375,34,11,nan
2005-06-14 00:00:00,1203.91,1069239.338323999999897262469,1064554.338323999999897262469,2,116,324250.00,-25.075840999999997,36,11,53.98692810457516339869281045
2005-06-15 00:00:00,1206.58,1078054.728267999999882897910,1064312.228267999999882897910,3,184,488347.500,-37.211954,36,11,nan
2005-06-16 00:00:00,1210.96,1081995.669470749999882874803,1064480.669470749999882874803,2,183,489380.000,-30.647867999999995,37,11,65.38461538461538461538461538
2005-06-17 00:00:00,1216.96,1086561.413651999999879782521,1079251.413651999999879782521,1,68,162350.000,-11.270252,38,11,53.06122448979591836734693878
2005-06-20 00:00:00,1216.1,1078840.453030499999863556226,1085790.453030499999863556226,1,139,316920.0,-34.233754,39,11,47.72727272727272727272727273
2005-06-21 00:00:00,1213.61,1086861.682029499999851074321,1085601.682029499999851074321,2,192,492610.0,-43.560674,39,11,nan
2005-06-22 00:00:00,1213.88,1088681.682029499999851074321,1085601.682029499999851074321,2,192,494430.00,-42.838978,39,11,nan
2005-06-23 00:00:00,1200.73,1067526.682029499999851074321,1085601.682029499999851074321,2,192,473275.00,-60.28088499999999,39,11,nan
2005-06-24 00:00:00,1191.57,1048768.120516499999850923430,1085598.120516499999850923430,3,193,458635.00,-73.79576800000001,39,11,nan
2005-06-27 00:00:00,1190.69,1055542.434294499999850147631,1085587.434294499999850147631,4,196,476160.00,-73.18221000000001,39,11,nan
2005-06-28 00:00:00,1201.57,1074687.434294499999850147631,1085587.434294499999850147631,4,196,495305.00,-54.268088,39,11,nan
2005-06-29 00:00:00,1199.85,1076457.434294499999850147631,1085587.434294499999850147631,4,196,497075.000,-56.305343,39,11,nan
2005-06-30 00:00:00,1191.33,1063137.434294499999850147631,1085587.434294499999850147631,4,196,483755.00,-68.67806,39,11,nan
2005-07-01 00:00:00,1194.44,1069967.434294499999850147631,1085587.434294499999850147631,4,196,490585.000,-60.132439000000005,39,11,nan
2005-07-05 00:00:00,1204.99,1091215.257175999999850413147,1086280.257175999999850413147,3,193,500400.000,-45.954786,40,11,55.35714285714285714285714286
2005-07-06 00:00:00,1194.94,1072330.257175999999850413147,1086280.257175999999850413147,3,193,481515.000,-57.998227,40,11,nan
2005-07-07 00:00:00,1197.87,1076945.257175999999850413147,1086280.257175999999850413147,3,193,486130.000,-55.02326600000001,40,11,nan
2005-07-08 00:00:00,1211.86,1097306.198276749999850343542,1086511.198276749999850343542,2,192,502145.00,-35.191202,41,11,60.38961038961038961038961039
2005-07-11 00:00:00,1219.44,1103033.698276749999850343542,1086511.198276749999850343542,2,192,507872.500,-29.423211,41,11,nan
2005-07-12 00:00:00,1222.21,1104193.571886249999850937442,1096896.071886249999850937442,1,139,331167.500,-19.572729,42,11,58.08823529411764705882352941
2005-07-13 00:00:00,1223.29,1109126.795441749999854286201,1108979.295441749999854286201,1,59,163725.00,-14.404319,43,11,52.94117647058823529411764706
2005-07-14 00:00:00,1226.5,1117324.084449749999821355217,1108466.584449749999821355217,2,203,505075.00,-44.504232,43,11,nan
2005-07-15 00:00:00,1227.92,1116686.584449749999821355217,1108466.584449749999821355217,2,203,504437.500,-39.199276,43,11,nan
2005-07-18 00:00:00,1221.13,1112544.084449749999821355217,1108466.584449749999821355217,2,203,500295.00,-45.04197099999999,43,11,nan
2005-07-19 00:00:00,1229.35,1127039.611650749999812282098,1115159.611650749999812282098,1,144,344520.000,-23.222303999999998,44,11,50.54945054945054945054945055
2005-07-20 00:00:00,1235.2,1131025.036132749999852498135,1129845.036132749999852498135,1,59,163430.00,-13.218006,45,11,55.26315789473684210526315789
2005-07-21 00:00:00,1227.04,1120433.946056249999900122916,1129463.946056249999900122916,2,166,491072.500,-53.73942099999999,45,11,nan
2005-07-22 00:00:00,1233.68,1133637.200718249999899844838,1129449.700718249999899844838,3,170,517120.00,-46.290375,45,11,nan
2005-07-25 00:00:00,1229.03,1132012.200718249999899844838,1129449.700718249999899844838,3,170,515495.00,-48.683628999999996,45,11,nan
2005-07-26 00:00:00,1231.16,1131387.200718249999899844838,1129449.700718249999899844838,3,170,514870.000,-46.416643,45,11,nan
2005-07-27 00:00:00,1236.79,1144167.200718249999899844838,1129449.700718249999899844838,3,170,527650.000,-39.415589,45,11,nan
2005-07-28 00:00:00,1243.72,1148969.700718249999899844838,1129449.700718249999899844838,3,170,532452.500,-33.536981000000004,45,11,nan
2005-07-29 00:00:00,1234.18,1135704.700718249999899844838,1129449.700718249999899844838,3,170,519187.500,-43.844424000000004,45,11,nan
2005-08-01 00:00:00,1235.35,1133539.700718249999899844838,1129449.700718249999899844838,3,170,517022.500,-44.034949999999995,45,11,nan
2005-08-02 00:00:00,1244.12,1146512.200718249999899844838,1129449.700718249999899844838,3,170,529995.00,-34.795333,45,11,nan
2005-08-03 00:00:00,1245.04,1150594.700718249999899844838,1129449.700718249999899844838,3,170,534077.500,-33.733872999999996,45,11,nan
2005-08-04 00:00:00,1235.86,1137239.700718249999899844838,1129449.700718249999899844838,3,170,520722.500,-42.704674000000004,45,11,nan
2005-08-05 00:00:00,1226.42,1123597.200718249999899844838,1129449.700718249999899844838,3,170,507080.00,-52.105951999999995,45,11,nan
2005-08-08 00:00:00,1223.13,1121217.200718249999899844838,1129449.700718249999899844838,3,170,504700.000,-55.228816,45,11,nan
2005-08-09 00:00:00,1231.38,1137112.200718249999899844838,1129449.700718249999899844838,3,170,520595.00,-42.393570999999994,45,11,nan
2005-08-10 00:00:00,1229.13,1138434.700718249999899844838,1129449.700718249999899844838,3,170,521917.500,-43.90496,45,11,nan
2005-08-11 00:00:00,1237.81,1146764.700718249999899844838,1129449.700718249999899844838,3,170,530247.500,-35.806568999999996,45,11,nan
2005-08-12 00:00:00,1230.39,1139304.700718249999899844838,1129449.700718249999899844838,3,170,522787.500,-43.329741,45,11,nan
2005-08-15 00:00:00,1233.87,1147758.464560249999900198859,1130033.464560249999900198859,2,166,517827.500,-34.814116,46,11,50.42735042735042735042735043
2005-08-16 00:00:00,1219.34,1121740.964560249999900198859,1130033.464560249999900198859,2,166,491810.0,-53.72305299999999,46,11,nan
2005-08-17 00:00:00,1220.24,1127944.221568249999900990233,1130019.221568249999900990233,3,170,509027.500,-51.877415,46,11,nan
2005-08-18 00:00:00,1219.02,1120829.221568249999900990233,1130019.221568249999900990233,3,170,501912.500,-52.420209,46,11,nan
2005-08-19 00:00:00,1219.71,1131564.221568249999900990233,1130019.221568249999900990233,3,170,512647.500,-51.046945,46,11,nan
2005-08-22 00:00:00,1221.73,1143024.110686499999895771041,1143024.110686499999895771041,0,0,0,0,49,11,30.38929440389294403892944039
2005-08-23 00:00:00,1217.59,1140671.833505499999911192433,1142806.833505499999911192433,1,61,338550.0,-15.671876000000003,49,11,nan
