symbol,exchange,company_name,date,stock_price_close,option_symbol,option_expiration,strike,call/put,style,ask,bid,mean_price,settlement,iv,volume,open_interest,stock_price_for_iv,forward_price,isinterpolated,delta,vega,gamma,theta,rho
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00101000,8/8/14,101,P,A,6.8,6.45,6.625,0,0.291207,1,762,94.48,,*,-1,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00102000,8/8/14,102,C,A,0.01,0,0,0,0.291207,25,7995,94.48,,*,0,0,0.000001,-0.000001,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00102000,8/8/14,102,P,A,7.7,7.45,7.575,0,0.291207,159,833,94.48,,*,-1,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00103000,8/8/14,103,C,A,0.01,0,0,0,0.291207,301,8112,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00103000,8/8/14,103,P,A,8.7,8.5,8.6,0,0.291207,20,885,94.48,,*,-1,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00104000,8/8/14,104,C,A,0.01,0,0,0,0.291207,20,1651,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00104000,8/8/14,104,P,A,9.8,9.45,9.625,0,0.291207,0,45,94.48,,*,-1,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00105000,8/8/14,105,C,A,0.01,0,0,0,0.291207,50,12835,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00105000,8/8/14,105,P,A,10.8,10.45,10.625,0,0.291207,11,10577,94.48,,*,-1,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00106000,8/8/14,106,C,A,0.01,0,0,0,0.291207,0,1247,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00106000,8/8/14,106,P,A,11.85,11.2,11.525,0,0.291207,0,76,94.48,,*,-1,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00107000,8/8/14,107,C,A,0.01,0,0,0,0.291207,0,1312,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00107000,8/8/14,107,P,A,12.8,12.2,12.5,0,0.291207,0,0,94.48,,*,-1,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00108000,8/8/14,108,C,A,0.01,0,0,0,0.291207,0,1076,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00108000,8/8/14,108,P,A,13.85,13.45,13.65,0,0.291207,0,0,94.48,,*,-1,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00109000,8/8/14,109,C,A,0.01,0,0,0,0.291207,0,0,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00109000,8/8/14,109,P,A,14.95,14.1,14.525,0,0.291207,0,0,94.48,,*,-1,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00110000,8/8/14,110,C,A,0.01,0,0,0,0.291207,0,19323,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00110000,8/8/14,110,P,A,15.75,15.35,15.55,0,0.291207,0,17357,94.48,,*,-1,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00111000,8/8/14,111,C,A,0.01,0,0,0,0.291207,0,16,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00111000,8/8/14,111,P,A,17,16.1,16.55,0,0.291207,0,0,94.48,,*,-1,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00112000,8/8/14,112,C,A,0.01,0,0,0,0.291207,0,27,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00112000,8/8/14,112,P,A,18,17.1,17.55,0,0.291207,0,0,94.48,,*,-1,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00113000,8/8/14,113,C,A,0.01,0,0,0,0.291207,0,40,94.48,,*,0,0,0,0,0
