symbol,exchange,company_name,date,stock_price_close,option_symbol,option_expiration,strike,call/put,style,ask,bid,mean_price,settlement,iv,volume,open_interest,stock_price_for_iv,forward_price,isinterpolated,delta,vega,gamma,theta,rho
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01285000,01/07/2011,1285.0,C,E,1.65,1.3,1.475,0.0,0.110544,3267,3012,1271.87,1271.629,,0.184521,0.354802,0.018105,-0.47912,0.025557
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01285000,01/07/2011,1285.0,P,E,18.3,16.8,17.55,0.0,0.175871,54,0,1271.87,1271.629,,-0.711746,0.454255,0.01457,-1.041455,-0.101129
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01290000,01/07/2011,1290.0,C,E,1.05,0.7,0.875,0.0,0.1148,478,249,1271.87,1271.629,,0.11748299999999999,0.262369,0.012891999999999999,-0.369402,0.016279
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01290000,01/07/2011,1290.0,P,E,22.6,20.8,21.7,0.0,0.18556199999999998,4,11,1271.87,1271.629,,-0.766735,0.40723000000000004,0.012379000000000001,-0.990698,-0.109248
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01295000,01/07/2011,1295.0,C,E,0.65,0.5,0.575,0.0,0.122394,3817,2902,1271.87,1271.629,,0.078516,0.195145,0.008994,-0.29381399999999996,0.010881
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01295000,01/07/2011,1295.0,P,E,28.1,24.9,26.5,0.0,0.207492,11,0,1271.87,1271.629,,-0.795875,0.377064,0.010251,-1.0258129999999999,-0.11383599999999999
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01300000,01/07/2011,1300.0,C,E,0.4,0.3,0.35,0.0,0.127396,9398,4114,1271.87,1271.629,,0.049677,0.136606,0.0060490000000000006,-0.21453699999999998,0.006886
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01300000,01/07/2011,1300.0,P,E,32.9,29.5,31.2,0.0,0.224652,0,2,1271.87,1271.629,,-0.822729,0.345731,0.008681,-1.020294,-0.118094
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01315000,01/07/2011,1315.0,C,E,0.2,0.1,0.15,0.0,0.288681,7963,152,1271.87,1271.629,*,0.1368,0.291697,0.0057,-1.0443200000000001,0.018779
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01315000,01/07/2011,1315.0,P,E,47.7,44.3,46.0,0.0,0.288681,0,67,1271.87,1271.629,,-0.862981,0.291697,0.0057,-1.1043459999999998,-0.125326
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01325000,01/07/2011,1325.0,C,E,0.1,0.05,0.075,0.0,0.33420900000000003,2099,1602,1271.87,1271.629,*,0.12347799999999999,0.271728,0.004586,-1.127699,0.016916999999999998
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01325000,01/07/2011,1325.0,P,E,57.9,54.2,56.05,0.0,0.33420900000000003,0,6,1271.87,1271.629,,-0.8763040000000001,0.271728,0.004586,-1.1876520000000002,-0.12828399999999998
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01350000,01/07/2011,1350.0,C,E,0.05,0.0,0.0,0.0,0.42352399999999996,949,1258,1271.87,1271.629,*,0.092276,0.22024499999999997,0.002933,-1.160401,0.012601000000000001
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01350000,01/07/2011,1350.0,P,E,82.4,79.1,80.75,0.0,0.42352399999999996,0,0,1271.87,1271.629,,-0.9075049999999999,0.22024499999999997,0.002933,-1.2201739999999999,-0.13534000000000002
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01375000,01/07/2011,1375.0,C,E,0.05,0.0,0.0,0.0,0.522215,2149,28,1271.87,1271.629,*,0.08039500000000001,0.19867,0.002146,-1.291985,0.010934000000000001
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01375000,01/07/2011,1375.0,P,E,107.6,104.1,105.85,0.0,0.522215,0,0,1271.87,1271.629,,-0.919386,0.19867,0.002146,-1.351576,-0.139747
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00200000,01/21/2011,200.0,C,E,1070.5,1066.2,1068.35,0.0,0.448957,0,250,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.097077
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00200000,01/21/2011,200.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,251,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00300000,01/21/2011,300.0,C,E,970.5,966.2,968.35,0.0,0.448957,0,0,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.14561500000000002
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00300000,01/21/2011,300.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,0,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00350000,01/21/2011,350.0,C,E,920.5,916.2,918.35,0.0,0.448957,0,0,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.16988399999999998
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00350000,01/21/2011,350.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,0,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00400000,01/21/2011,400.0,C,E,870.5,866.2,868.35,0.0,0.448957,0,9,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.194153
